_id,co_date,co_review
65debd0d10cac7425905e925,2020년 2월 18일,정말 유용합니다. 그야말로 필수앱!!
65debd0f10cac7425905e927,2023년 8월 11일,뇌전증에 관해 유용한 정보 많이 알고 가요.
65debd1110cac7425905e929,2020년 2월 18일,일단 깔아서 써보세요 왜 평점이 높은지 알겠네요
65debd1310cac7425905e92b,2020년 2월 18일,희귀질환 환자에게 큰도움이 될 앱이네요.한줄기 빛과 같을테죠.
65debd1510cac7425905e92d,2021년 11월 2일,없는 질환이 정말 많네요. 당장 저는 긴QT증후군이라는 희귀난치병을 앓고 있는데 없네요.
65debd1710cac7425905e92f,2021년 4월 21일,전문가가 만든 느낌이 확실히 나네요
65debd1910cac7425905e931,2021년 10월 31일,꼭필요한 앱이네요 그런데 레트증후군이 없어요 추가 부탁드립니다
65debd1b10cac7425905e933,2020년 2월 14일,정말 좋은 앱입니다. 만인에게 추천드리고 싶군요
65debd1d10cac7425905e935,2020년 11월 17일,희귀질환 갖고있는 한사람입니다 이 앱은 자체에 유용한거 같지만 회원가입이 안됩니다 다른것 보고싶어도 회원가입이 안되니까 보고 싶어도 못보네요....
65debd1f10cac7425905e937,2020년 2월 12일,관련 앱이 잘 없었는데 넘 도움될 거 같아요
65debd2110cac7425905e939,2021년 7월 6일,너무 좋은 어플같은데 루푸스는 없네요ㅜㅜ
65debd2310cac7425905e93b,2021년 8월 27일,치료제 임상실험 결과를 알 수 있다
65debd2510cac7425905e93d,2020년 2월 6일,내용이 다소 어렵긴한데 환자분들에게 꼭 필요한 앱이라는 생각이 듭니다.
65debd2710cac7425905e93f,2020년 2월 18일,사용도 쉽고 좋습니다
65debd2910cac7425905e941,2020년 2월 14일,가족에게 희귀질환이 있으면 이 앱이 큰 도움이 될 듯
65debd2c10cac7425905e943,2021년 10월 14일,안검연축에 대한것도 들어있음좋겠어요.
65debd2e10cac7425905e945,2020년 8월 8일,개발자의 노고가 느껴지는 앱이네요! 강추합니다!
65debd3010cac7425905e947,2020년 2월 18일,너무 유용한 앱입니다~^^
65debd3210cac7425905e949,2021년 1월 28일,자세한 정보를 알 수 잇어 조아요
65debd3410cac7425905e94b,2020년 2월 6일,희귀질환 환우들에게 좋을것같아요
65debd3610cac7425905e94d,2020년 2월 14일,"의료업계 종사자는 아니지만, 이거 정말 크게 될 어플이군요"
65debd3810cac7425905e94f,2020년 2월 14일,아주 유니크한 어플이네요 ㅎㅡㅎ
65debd3a10cac7425905e951,2021년 3월 17일,근육병이 없네요~ 미토콘드리아 근병증에 대해서도 관심 부탁드립니다
65debd3c10cac7425905e953,2020년 2월 21일,다른 종류의 유전병들도 추가되었으면 좋겠어요!
65debd3e10cac7425905e955,2020년 2월 14일,정말 필요로했던 어플이 이제서야..ㅠㅠ감사합니다
65debd4010cac7425905e957,2020년 2월 6일,정보가 많고 좋아요.
65debd4210cac7425905e959,2022년 8월 10일,좋은정보 훌륭한 역할을 수행하고 있어요
65debd4410cac7425905e95b,2023년 3월 24일,희귀질환을 가진 환우들에게 든든한 소식지입니다~
65debd4610cac7425905e95d,2021년 6월 11일,파킨슨병에 관한 내용은 없나요?난치병중 가장많은 사람들이 앓고 있는 질환중 하나인데 없어서 아쉽네요
65debd4810cac7425905e95f,2021년 2월 23일,좋은 데 임상결과가 너무 늦어요
65debd4a10cac7425905e961,2024년 1월 27일,정말 좋은일 하구계십니다.
65debd4c10cac7425905e963,2020년 2월 18일,크론병이 추가되면 좋을거 같습니다
65debd4f10cac7425905e965,2020년 3월 23일,정말걈사합니다 앞으로 더 많은 질환 다뤄주세요
65debd5110cac7425905e967,2020년 2월 14일,너무너무 유용해요-!
65debd5310cac7425905e969,2021년 3월 16일,상세한 설명!!도움 됩니다!!
65debd5510cac7425905e96b,2020년 2월 9일,희귀질환 환자들에게 유용한 정보가 될것같습니다
65debd5710cac7425905e96d,2020년 2월 14일,너무 편리하고 좋아요 ~
65debd5910cac7425905e96f,2020년 2월 13일,소중한 정보 감사합니다
65debd5b10cac7425905e971,2022년 7월 25일,잘됐으면 하는 어플입니다!
65debd5d10cac7425905e973,2020년 2월 14일,독특한 어플이네요
65debd5f10cac7425905e975,2021년 7월 15일,모든환우들이 행복해지기를 바랍니다
65debd6110cac7425905e977,2020년 12월 24일,황반변성 신약에대한 내용이 좋아요
65debd6310cac7425905e979,2020년 6월 12일,깔끔하고 쓰기편해요
65debd6510cac7425905e97b,2021년 1월 15일,많은 도움이 됩니다!
65debd6710cac7425905e97d,2021년 3월 12일,좋은 정보 너무 감사드려요~
65debd6910cac7425905e97f,2020년 2월 18일,와 정말정말 고맙습니다.!!
65debd6b10cac7425905e981,2020년 4월 18일,회원가입 xx 회원가입이 안되욤 ...
65debd6d10cac7425905e983,2020년 2월 14일,잘 사용중이에요 ^^
65debd6f10cac7425905e985,2020년 2월 14일,많이 도움받았어용 땅큐
65debd7110cac7425905e987,2021년 12월 22일,희귀 질환자들을 위해 열심이신 분들을 응원합니다.
65debd7410cac7425905e989,2020년 2월 14일,사용하기 유용해서 좋아요
65debd7610cac7425905e98b,2021년 3월 24일,희귀성질환에 정말 기대가 되는 어플입니다
65debd7810cac7425905e98d,2020년 2월 14일,정말 잘만들었어요
65debd7a10cac7425905e98f,2020년 2월 18일,유용한 앱이네요 ㅎㅎ
65debd7c10cac7425905e991,2021년 11월 2일,루프스도 추가 부탁드립니다
65debd7e10cac7425905e993,2020년 2월 20일,보기편한 앱입니다~
65debd8010cac7425905e995,2022년 1월 22일,완전 좋아요
65debd8210cac7425905e997,2021년 3월 8일,많은 도움이 됩니다
