_id,asmGrd,asmGrdNm,asmNm,yadmNm,ykiho
65f10f5db5a3f17e1ea366c0,3,3회연속,고혈압,연무제일의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzIxIyQxIyQ5IyQwMyQzNjEwMDIjNjEjJDEjJDAjJDgz
65f10f5db5a3f17e1ea366c1,3,3회연속,고혈압,검암중앙의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzIxIyQxIyQ5IyQxMyQyNjEyMjIjNzEjJDEjJDgjJDgz
65f10f5db5a3f17e1ea366c2,2,2회연속,고혈압,기호일의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzIxIyQxIyQxIyQ2MiQzNjE4MzIjODEjJDEjJDYjJDgz
65f10f5db5a3f17e1ea366c3,1,최근우수,천식,삼성서울가정의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzIxIyQxIyQxIyQ3MiQzNjE4MzIjNjEjJDEjJDgjJDgz
65f10f5db5a3f17e1ea366c4,3,3회연속,고혈압,삼성서울가정의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzIxIyQxIyQxIyQ3MiQzNjE4MzIjNjEjJDEjJDgjJDgz
65f10f5db5a3f17e1ea366c5,3,3회연속,고혈압,김경현내과의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzIxIyQxIyQxIyQ4MiQ0NjE0ODEjNDEjJDEjJDgjJDgz
65f10f5db5a3f17e1ea366c6,2,2회연속,고혈압,서울중앙내과의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzIxIyQxIyQxIyQ4MiQzNjE0ODEjODEjJDEjJDYjJDgz
65f10f5db5a3f17e1ea366c7,3,3회연속,천식,하기수내과의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzIxIyQxIyQxIyQ4OSQ0NjEwMDIjNTEjJDEjJDYjJDgz
65f10f5db5a3f17e1ea366c8,3,3회연속,당뇨병,하기수내과의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzIxIyQxIyQxIyQ4OSQ0NjEwMDIjNTEjJDEjJDYjJDgz
65f10f5db5a3f17e1ea366c9,3,3회연속,고혈압,하기수내과의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzIxIyQxIyQxIyQ4OSQ0NjEwMDIjNTEjJDEjJDYjJDgz
65f10f5db5a3f17e1ea366ca,3,3회연속,천식,푸른솔가정의학과의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzIxIyQxIyQxIyQ4OSQyNjE4MzIjNjEjJDEjJDAjJDgz
65f10f5db5a3f17e1ea366cb,3,3회연속,당뇨병,푸른솔가정의학과의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzIxIyQxIyQxIyQ4OSQyNjE4MzIjNjEjJDEjJDAjJDgz
65f10f5db5a3f17e1ea366cc,3,3회연속,고혈압,푸른솔가정의학과의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzIxIyQxIyQxIyQ4OSQyNjE4MzIjNjEjJDEjJDAjJDgz
65f10f5db5a3f17e1ea366cd,3,3회연속,당뇨병,이승규내과의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzIxIyQxIyQxIyQ4OSQzNjE0ODEjNTEjJDEjJDIjJDgz
65f10f5db5a3f17e1ea366ce,3,3회연속,고혈압,김희승내과의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzIxIyQxIyQxIyQ5MiQzNjE4MzIjNDEjJDEjJDgjJDgz
65f10f5db5a3f17e1ea366cf,3,3회연속,고혈압,양문서울의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzIxIyQxIyQxIyQ5OSQyNjE4MzIjNDEjJDEjJDgjJDgz
65f10f5db5a3f17e1ea366d0,3,3회연속,고혈압,수원연세내과의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzIxIyQxIyQxIyQwMyQyNjE4MzIjNjEjJDEjJDQjJDgz
65f10f5db5a3f17e1ea366d1,3,3회연속,당뇨병,수원연세내과의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzIxIyQxIyQxIyQwMyQyNjE4MzIjNjEjJDEjJDQjJDgz
65f10f5db5a3f17e1ea366d2,3,3회연속,고혈압,속편한내과의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzIxIyQxIyQxIyQwMyQzNjE4MzIjODEjJDEjJDIjJDgz
65f10f5db5a3f17e1ea366d3,3,3회연속,당뇨병,속편한내과의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzIxIyQxIyQxIyQwMyQzNjE4MzIjODEjJDEjJDIjJDgz
65f10f5db5a3f17e1ea366d4,3,3회연속,당뇨병,이상화내과의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzIxIyQxIyQxIyQwMyQzNjEyMjIjNDEjJDEjJDQjJDgz
